ID,CONVERTED_ACCOUNT_ID,A_LEAD_ASSOCIATED_COUNTRY_C,A_LEAD_UTM_SOURCE_C,CREATED_DATE,A_LEAD_FIRST_REACH_OUT_DATE_C,A_LEAD_FIRST_MEETING_CREATION_DATE_C,A_LEAD_FIRST_MEETING_DATE_C,A_LEAD_LAST_MEETING_DATE_C,IS_DELETED
00Q1i00000AOstdEAD,,Spain,facebook,2022-02-01T00:02:17Z,2022-02-01T08:10:55Z,2022-02-01T08:20:26Z,2022-02-04T08:30:00Z,2022-02-04T08:00:00Z,FALSE
00Q1i00000AOstiEAD,,France,google,2022-02-01T00:11:16Z,2022-02-01T08:35:51Z,,,,FALSE
00Q1i00000AOstsEAD,,Italy,google,2022-02-01T00:18:49Z,2022-02-01T09:08:31Z,,,,FALSE
00Q1i00000AOstxEAD,,Italy,facebook,2022-02-01T00:28:56Z,2022-02-01T08:44:23Z,2022-02-02T10:35:34Z,2022-02-02T18:30:00Z,2022-02-02T18:30:00Z,FALSE
00Q1i00000AOsuCEAT,,Italy,,2022-02-01T00:41:15Z,2022-02-01T09:18:24Z,2022-02-01T09:26:47Z,2022-02-01T18:30:00Z,2022-02-01T18:30:00Z,FALSE
00Q1i00000AOsuMEAT,,France,facebook,2022-02-01T00:46:56Z,2022-02-01T09:23:14Z,,,,FALSE
00Q1i00000AOsuREAT,0011i00001Nc40yAAB,Spain,facebook,2022-02-01T01:13:47Z,2022-02-01T08:28:50Z,2022-02-01T11:09:37Z,2022-02-02T11:00:00Z,2022-02-02T11:00:00Z,FALSE
00Q1i00000AOsubEAD,0011i00001O5sXSAAZ,Germany,google,2022-02-01T01:22:59Z,2022-02-01T10:30:19Z,2022-02-01T10:36:21Z,2022-02-03T09:00:00Z,2022-02-03T09:00:00Z,FALSE
00Q1i00000AOsuqEAD,,France,google,2022-02-01T01:39:15Z,2022-02-01T10:31:11Z,,,,FALSE
00Q1i00000AOsuvEAD,,Italy,facebook,2022-02-01T01:43:11Z,2022-02-01T08:42:29Z,2022-02-15T10:52:17Z,2022-02-16T18:00:00Z,2022-02-16T18:00:00Z,FALSE
00Q1i00000AOsvAEAT,,France,leboncoin,2022-02-01T01:51:35Z,2022-02-01T08:34:33Z,,,,FALSE
00Q1i00000AOsvKEAT,,Spain,facebook,2022-02-01T02:12:07Z,2022-02-01T08:53:11Z,,,,FALSE
